Original Sort,PARCEL,Neighborhood,Property Type,Full Address,latitude,longitude,Did it sell?,Prediction,Actual,Prediction Result
14078,5551015005,Hollywood,Single Famly,"1637 S Orange Grove Ave, Los Angeles, CA 90019",,,1,,,
5793,5070006023,Beverly Grove,Single Famly,"1342 S Redondo Blvd, Los Angeles, CA 90019",,,1,,,
5691,5070009012,Beverly Grove,Single Famly,"1355 Meadowbrook Ave, Los Angeles, CA 90019",,,1,,,
4158,5085036010,Beverly Grove,Single Famly,"1348 S Burnside Ave, Los Angeles, CA 90019",34.0493026,-118.3541162,1,0,1,Prediction Incorrect - Sold
6060,5085031023,Beverly Grove,Single Famly,"1372 Carmona Ave, Los Angeles, CA 90019",34.0493996,-118.3570838,1,0,1,Prediction Incorrect - Sold
2558,5085033013,Beverly Grove,Single Famly,"1349 S Burnside Ave, Los Angeles, CA 90019",34.0494054,-118.3546641,1,0,1,Prediction Incorrect - Sold
6059,5085031025,Beverly Grove,Single Famly,"1362 Carmona Ave, Los Angeles, CA 90019",,,1,,,
2615,5085031012,Beverly Grove,Single Famly,"1353 Hauser Blvd, Los Angeles, CA 90019",34.0498282,-118.3564903,1,0,1,Prediction Incorrect - Sold
2223,5070002016,Beverly Grove,Single Famly,"1310 S Mansfield Ave, Los Angeles, CA 90019",34.0498853,-118.3447566,1,0,1,Prediction Incorrect - Sold
2093,5070005028,Beverly Grove,Single Famly,"1299 S Sycamore Ave, Los Angeles, CA 90019",34.0499369,-118.3475874,1,0,1,Prediction Incorrect - Sold
4201,5085034015,Beverly Grove,Single Famly,"5358 Packard St, Los Angeles, CA 90019",,,1,,,
3272,5070009017,Beverly Grove,Single Famly,"1302 S Cloverdale Ave, Los Angeles, CA 90019",34.0503884,-118.3504181,1,1,1,Prediction Correct - Sold
4224,5085028030,Beverly Grove,Single Famly,"1355 S Sierra Bonita Ave, Los Angeles, CA 90019",,,1,,,
3346,5070005024,Beverly Grove,Single Famly,"1279 S Sycamore Ave, Los Angeles, CA 90019",34.0504741,-118.3473591,1,0,1,Prediction Incorrect - Sold
4670,5085031005,Beverly Grove,Single Famly,"1314 Carmona Ave, Los Angeles, CA 90019",,,1,,,
3297,5085031037,Beverly Grove,Single Famly,"1307 Hauser Blvd, Los Angeles, CA 90019",,,1,,,
2668,5086028006,Beverly Grove,Single Famly,"1339 S Spaulding Ave, Los Angeles, CA 90019",,,1,,,
3295,5085018032,Beverly Grove,Single Famly,"1265 Hauser Blvd, Los Angeles, CA 90019",,,1,,,
6068,5085028021,Beverly Grove,Single Famly,"1309 S Sierra Bonita Ave, Los Angeles, CA 90019",,,1,,,
4188,5085020038,Beverly Grove,Single Famly,"1253 Masselin Ave, Los Angeles, CA 90019",,,1,,,
2611,5085017012,Beverly Grove,Single Famly,"1246 Hauser Blvd, Los Angeles, CA 90019",,,1,,,
5070,5086028018,Beverly Grove,Single Famly,"1322 S Genesee Ave, Los Angeles, CA 90019",,,1,,,
4183,5085018035,Beverly Grove,Single Famly,"1247 Hauser Blvd, Los Angeles, CA 90019",,,1,,,
4203,5085022013,Beverly Grove,Single Famly,"5645 Packard St, Los Angeles, CA 90019",34.0523325,-118.3597246,1,1,1,Prediction Correct - Sold
4228,5086028013,Beverly Grove,Single Famly,"1303 S Spaulding Ave, Los Angeles, CA 90019",,,1,,,
4696,5085020034,Beverly Grove,Single Famly,"1231 Masselin Ave, Los Angeles, CA 90019",,,1,,,
4695,5085019030,Beverly Grove,Single Famly,"1220 Masselin Ave, Los Angeles, CA 90019",,,1,,,
6310,5085020033,Beverly Grove,Single Famly,"1225 Masselin Ave, Los Angeles, CA 90019",34.052667,-118.3573226,1,1,1,Prediction Correct - Sold
4694,5085019029,Beverly Grove,Single Famly,"1216 Masselin Ave, Los Angeles, CA 90019",,,1,,,
5445,5085015003,Beverly Grove,Single Famly,"1212 S Burnside Ave, Los Angeles, CA 90019",,,1,,,
5086,5086027002,Beverly Grove,Single Famly,"1253 S Spaulding Ave, Los Angeles, CA 90019",,,1,,,
5293,5085021018,Beverly Grove,Single Famly,"1226 S Curson Ave, Los Angeles, CA 90019",,,1,,,
3339,5086027003,Beverly Grove,Single Famly,"1249 S Spaulding Ave, Los Angeles, CA 90019",,,1,,,
2608,5085018020,Beverly Grove,Single Famly,"1213 Hauser Blvd, Los Angeles, CA 90019",34.0530171,-118.3553621,1,0,1,Prediction Incorrect - Sold
6600,5084032034,Beverly Grove,Single Famly,"1214 1/2 S Cloverdale Ave, Los Angeles, CA 90019",,,1,,,
4029,5086004012,Beverly Grove,Single Famly,"1303 S Orange Grove Ave, Los Angeles, CA 90019",,,1,,,
6599,5084032033,Beverly Grove,Single Famly,"1214 S Cloverdale Ave, Los Angeles, CA 90019",,,1,,,
2621,5085020028,Beverly Grove,Single Famly,"1201 Masselin Ave, Los Angeles, CA 90019",,,1,,,
5815,5087010001,Beverly Grove,Single Famly,"1249 Alvira St, Los Angeles, CA 90035",,,1,,,
2082,5085020010,Beverly Grove,Single Famly,"1200 S Sierra Bonita Ave, Los Angeles, CA 90019",,,1,,,
