Order,Parcel,Neighborhood,House Type,Address,Lat,Lng,Did it sell?,Prediction,Actual,Prediction Result
14,4333013059,Beverly Grove,Condo,"811 S Bedford St #101, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
24,4332021069,Beverly Grove,Condo,"1046 S Bedford St #1, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
28,4335003031,Beverly Grove,Condo,"146 N Almont Dr #2, West Hollywood, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
35,4335014047,Beverly Grove,Condo,"8963 Burton Way #101, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
77,4335008231,Beverly Grove,Condo,"100 S Doheny Dr #101, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
87,4335008237,Beverly Grove,Condo,"100 S Doheny Dr #1019, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
110,4335008032,Beverly Grove,Condo,"100 S Doheny Dr #206, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
116,4335008039,Beverly Grove,Condo,"100 S Doheny Dr #213, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
123,4335008047,Beverly Grove,Condo,"100 S Doheny Dr #221, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
158,4335008083,Beverly Grove,Condo,"100 S Doheny Dr #409, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
223,4335008147,Beverly Grove,Condo,"100 S Doheny Dr #701, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
225,4335008149,Beverly Grove,Condo,"100 S Doheny Dr #703, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
259,4335008182,Beverly Grove,Condo,"100 S Doheny Dr #812, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
269,4335008193,Beverly Grove,Condo,"100 S Doheny Dr #823, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
276,4335008200,Beverly Grove,Condo,"100 S Doheny Dr #906, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
286,4335008210,Beverly Grove,Condo,"100 S Doheny Dr #916, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
303,5511013034,Beverly Grove,Condo,"121 N Croft Ave #106, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
323,5511013055,Beverly Grove,Condo,"121 N Croft Ave #308, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
336,4335013044,Beverly Grove,Condo,"8871 Burton Way #301, West Hollywood, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
340,4335013045,Beverly Grove,Condo,"8871 Burton Way #305, West Hollywood, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
