,Parcel,Neighborhood,Address,location,point,latitude,longitude,altitude
0,4333013059,Beverly Grove,"811 S Bedford St #101, Los Angeles, CA 90035","811 S Bedford St APT 101, Los Angeles, CA 90035, USA","(34.0626041, -118.3806122, 0.0)",34.0626041,-118.3806122,0.0
1,4332021069,Beverly Grove,"1046 S Bedford St #1, Los Angeles, CA 90035","1046 S Bedford St APT 1, Los Angeles, CA 90035, USA","(34.0579256, -118.3800809, 0.0)",34.0579256,-118.3800809,0.0
2,4335003031,Beverly Grove,"146 N Almont Dr #2, West Hollywood, CA 90048","146 N Almont Dr APT 2, West Hollywood, CA 90048, USA","(34.076612, -118.3874706, 0.0)",34.076612,-118.3874706,0.0
3,4335014047,Beverly Grove,"8963 Burton Way #101, Los Angeles, CA 90048","8963 Burton Way APT 101, Los Angeles, CA 90048, USA","(34.0726158, -118.3872768, 0.0)",34.0726158,-118.3872768,0.0
4,4335008231,Beverly Grove,"100 S Doheny Dr #101, Los Angeles, CA 90048","100 S Doheny Dr #101, Los Angeles, CA 90048, USA","(34.0746665, -118.3892218, 0.0)",34.0746665,-118.3892218,0.0
5,4335008237,Beverly Grove,"100 S Doheny Dr #1019, Los Angeles, CA 90048","100 S Doheny Dr #1019, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
6,4335008032,Beverly Grove,"100 S Doheny Dr #206, Los Angeles, CA 90048","100 S Doheny Dr #206, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
7,4335008039,Beverly Grove,"100 S Doheny Dr #213, Los Angeles, CA 90048","100 S Doheny Dr #213, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
8,4335008047,Beverly Grove,"100 S Doheny Dr #221, Los Angeles, CA 90048","100 S Doheny Dr #221, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
9,4335008083,Beverly Grove,"100 S Doheny Dr #409, Los Angeles, CA 90048","100 S Doheny Dr #409, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
10,4335008147,Beverly Grove,"100 S Doheny Dr #701, Los Angeles, CA 90048","100 S Doheny Dr #701, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
11,4335008149,Beverly Grove,"100 S Doheny Dr #703, Los Angeles, CA 90048","100 S Doheny Dr #703, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
12,4335008182,Beverly Grove,"100 S Doheny Dr #812, Los Angeles, CA 90048","100 S Doheny Dr #812, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
13,4335008193,Beverly Grove,"100 S Doheny Dr #823, Los Angeles, CA 90048","100 S Doheny Dr #823, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
14,4335008200,Beverly Grove,"100 S Doheny Dr #906, Los Angeles, CA 90048","100 S Doheny Dr #906, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
15,4335008210,Beverly Grove,"100 S Doheny Dr #916, Los Angeles, CA 90048","100 S Doheny Dr #916, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
16,5511013034,Beverly Grove,"121 N Croft Ave #106, Los Angeles, CA 90048","121 N Croft Ave APT 106, Los Angeles, CA 90048, USA","(34.0752125, -118.3745683, 0.0)",34.0752125,-118.3745683,0.0
17,5511013055,Beverly Grove,"121 N Croft Ave #308, Los Angeles, CA 90048","121 N Croft Ave APT 308, Los Angeles, CA 90048, USA","(34.0752125, -118.3745683, 0.0)",34.0752125,-118.3745683,0.0
18,4335013044,Beverly Grove,"8871 Burton Way #301, West Hollywood, CA 90048","8871 Burton Way APT 301, West Hollywood, CA 90048, USA","(34.0726197, -118.3855244, 0.0)",34.0726197,-118.3855244,0.0
19,4335013045,Beverly Grove,"8871 Burton Way #305, West Hollywood, CA 90048","8871 Burton Way APT 305, West Hollywood, CA 90048, USA","(34.0726197, -118.3855244, 0.0)",34.0726197,-118.3855244,0.0
20,4335012068,Beverly Grove,"141 S Clark Dr #106, West Hollywood, CA 90048","141 S Clark Dr APT 106, West Hollywood, CA 90048, USA","(34.0740302, -118.3852555, 0.0)",34.0740302,-118.3852555,0.0
21,4335012071,Beverly Grove,"141 S Clark Dr #111, West Hollywood, CA 90048","141 S Clark Dr APT 111, West Hollywood, CA 90048, USA","(34.0740302, -118.3852555, 0.0)",34.0740302,-118.3852555,0.0
22,4335012080,Beverly Grove,"141 S Clark Dr #206, West Hollywood, CA 90048","141 S Clark Dr APT 206, West Hollywood, CA 90048, USA","(34.0740302, -118.3852555, 0.0)",34.0740302,-118.3852555,0.0
23,4335012090,Beverly Grove,"141 S Clark Dr #217, West Hollywood, CA 90048","141 S Clark Dr APT 217, West Hollywood, CA 90048, USA","(34.0740302, -118.3852555, 0.0)",34.0740302,-118.3852555,0.0
24,4335012100,Beverly Grove,"141 S Clark Dr #227, West Hollywood, CA 90048","141 S Clark Dr APT 227, West Hollywood, CA 90048, USA","(34.0740302, -118.3852555, 0.0)",34.0740302,-118.3852555,0.0
25,4335012110,Beverly Grove,"141 S Clark Dr #308, West Hollywood, CA 90048","141 S Clark Dr APT 308, West Hollywood, CA 90048, USA","(34.0740302, -118.3852555, 0.0)",34.0740302,-118.3852555,0.0
26,4335012142,Beverly Grove,"141 S Clark Dr #411, West Hollywood, CA 90048","141 S Clark Dr APT 411, West Hollywood, CA 90048, USA","(34.0740302, -118.3852555, 0.0)",34.0740302,-118.3852555,0.0
27,4335012157,Beverly Grove,"141 S Clark Dr #427, West Hollywood, CA 90048","141 S Clark Dr APT 427, West Hollywood, CA 90048, USA","(34.0740302, -118.3852555, 0.0)",34.0740302,-118.3852555,0.0
28,4334016063,Beverly Grove,"8568 Burton Way #201, Los Angeles, CA 90048","8568 Burton Way APT 201, Los Angeles, CA 90048, USA","(34.071862, -118.3790164, 0.0)",34.071862,-118.3790164,0.0
29,4335011025,Beverly Grove,"155 S Swall Dr #101, Los Angeles, CA 90048","155 S Swall Dr APT 101, Los Angeles, CA 90048, USA","(34.0738455, -118.3861181, 0.0)",34.0738455,-118.3861181,0.0
30,4334009048,Beverly Grove,"8611 Burton Way #11, Los Angeles, CA 90048","8611 Burton Way APT 11, Los Angeles, CA 90048, USA","(34.0726283, -118.3799647, 0.0)",34.0726283,-118.3799647,0.0
31,4334009045,Beverly Grove,"8611 Burton Way #8, Los Angeles, CA 90048","8611 Burton Way APT 8, Los Angeles, CA 90048, USA","(34.0726283, -118.3799647, 0.0)",34.0726283,-118.3799647,0.0
32,4334009051,Beverly Grove,"8611 Burton Way #14, Los Angeles, CA 90048","8611 Burton Way APT 14, Los Angeles, CA 90048, USA","(34.0726283, -118.3799647, 0.0)",34.0726283,-118.3799647,0.0
33,4334009072,Beverly Grove,"321 S San Vicente Blvd #306, Los Angeles, CA 90048","321 S San Vicente Blvd APT 306, Los Angeles, CA 90048, USA","(34.0731172, -118.3780522, 0.0)",34.0731172,-118.3780522,0.0
34,4334009078,Beverly Grove,"321 S San Vicente Blvd #404, Los Angeles, CA 90048","321 S San Vicente Blvd APT 404, Los Angeles, CA 90048, USA","(34.0731172, -118.3780522, 0.0)",34.0731172,-118.3780522,0.0
35,4334009094,Beverly Grove,"321 S San Vicente Blvd #604, Los Angeles, CA 90048","321 S San Vicente Blvd APT 604, Los Angeles, CA 90048, USA","(34.0731172, -118.3780522, 0.0)",34.0731172,-118.3780522,0.0
36,4334009122,Beverly Grove,"321 S San Vicente Blvd #908, Los Angeles, CA 90048","321 S San Vicente Blvd APT 908, Los Angeles, CA 90048, USA","(34.0731172, -118.3780522, 0.0)",34.0731172,-118.3780522,0.0
37,4334009153,Beverly Grove,"317 S Holt Ave #14, Los Angeles, CA 90048","317 S Holt Ave #14, Los Angeles, CA 90048, USA","(34.0730188, -118.3787943, 0.0)",34.0730188,-118.3787943,0.0
38,5089010037,Beverly Grove,"724 S Stanley Ave #12, Los Angeles, CA 90036","724 S Stanley Ave APT 12, Los Angeles, CA 90036, USA","(34.0615948, -118.3560058, 0.0)",34.0615948,-118.3560058,0.0
39,5089010028,Beverly Grove,"724 S Stanley Ave #3, Los Angeles, CA 90036","724 S Stanley Ave APT 3, Los Angeles, CA 90036, USA","(34.0615948, -118.3560058, 0.0)",34.0615948,-118.3560058,0.0
40,5089010029,Beverly Grove,"724 S Stanley Ave #4, Los Angeles, CA 90036","724 S Stanley Ave APT 4, Los Angeles, CA 90036, USA","(34.0615948, -118.3560058, 0.0)",34.0615948,-118.3560058,0.0
41,4333020042,Beverly Grove,"8642 Gregory Way #203, Los Angeles, CA 90035","8642 Gregory Way APT 203, Los Angeles, CA 90035, USA","(34.0627014, -118.3799719, 0.0)",34.0627014,-118.3799719,0.0
42,4333020047,Beverly Grove,"8642 Gregory Way #302, Los Angeles, CA 90035","8642 Gregory Way APT 302, Los Angeles, CA 90035, USA","(34.0627014, -118.3799719, 0.0)",34.0627014,-118.3799719,0.0
43,4333014049,Beverly Grove,"8712 Gregory Way #301, Los Angeles, CA 90035","8712 Gregory Way APT 301, Los Angeles, CA 90035, USA","(34.0627303, -118.382059, 0.0)",34.0627303,-118.382059,0.0
44,4333014056,Beverly Grove,"8712 Gregory Way #402, Los Angeles, CA 90035","8712 Gregory Way APT 402, Los Angeles, CA 90035, USA","(34.0627303, -118.382059, 0.0)",34.0627303,-118.382059,0.0
45,4333014058,Beverly Grove,"8712 Gregory Way #404, Los Angeles, CA 90035","8712 Gregory Way APT 404, Los Angeles, CA 90035, USA","(34.0627303, -118.382059, 0.0)",34.0627303,-118.382059,0.0
46,4335005031,Beverly Grove,"120 N Doheny Dr #105, West Hollywood, CA 90048","120 N Doheny Dr APT 105, West Hollywood, CA 90048, USA","(34.0761337, -118.3894206, 0.0)",34.0761337,-118.3894206,0.0
47,5511025048,Beverly Grove,"104 S Hayworth Ave #307, Los Angeles, CA 90048","104 S Hayworth Ave APT 307, Los Angeles, CA 90048, USA","(34.0739636, -118.362285, 0.0)",34.0739636,-118.362285,0.0
48,5089011047,Beverly Grove,"750 S Spaulding Ave #111, Los Angeles, CA 90036","750 S Spaulding Ave APT 111, Los Angeles, CA 90036, USA","(34.0612906, -118.3574052, 0.0)",34.0612906,-118.3574052,0.0
49,5089011074,Beverly Grove,"750 S Spaulding Ave #138, Los Angeles, CA 90036","750 S Spaulding Ave APT 138, Los Angeles, CA 90036, USA","(34.0612906, -118.3574052, 0.0)",34.0612906,-118.3574052,0.0
50,4335004033,Beverly Grove,"100 N Wetherly Dr #2C, Los Angeles, CA 90048","100 N Wetherly Dr #2C, Los Angeles, CA 90048, USA","(34.0755069, -118.3884684, 0.0)",34.0755069,-118.3884684,0.0
51,4335004034,Beverly Grove,"100 N Wetherly Dr #2D, Los Angeles, CA 90048","100 N Wetherly Dr #2D, Los Angeles, CA 90048, USA","(34.0755069, -118.3884684, 0.0)",34.0755069,-118.3884684,0.0
52,4335004037,Beverly Grove,"100 N Wetherly Dr #3C, Los Angeles, CA 90048","100 N Wetherly Dr #3C, Los Angeles, CA 90048, USA","(34.0755069, -118.3884684, 0.0)",34.0755069,-118.3884684,0.0
53,4335004041,Beverly Grove,"100 N Wetherly Dr #PHC, Los Angeles, CA 90048","100 N Wetherly Dr PHC, Los Angeles, CA 90048, USA","(34.0755152, -118.3884543, 0.0)",34.0755152,-118.3884543,0.0
54,4332019063,Beverly Grove,"1210 S Shenandoah St #201, Los Angeles, CA 90035","1210 S Shenandoah St APT 201, Los Angeles, CA 90035, USA","(34.055205, -118.3812561, 0.0)",34.055205,-118.3812561,0.0
