,Parcel,Neighborhood,Address,location,point,latitude,longitude,altitude
0,5087012023,Beverly Grove,"1040 S La Jolla Ave #VE, Los Angeles, CA 90035","1040 S La Jolla Ave, Los Angeles, CA 90035, USA","(34.0577323, -118.3717463, 0.0)",34.0577323,-118.3717463,0.0
1,4332020041,Beverly Grove,"1045 S Bedford St #9, Los Angeles, CA 90035","1045 S Bedford St APT 9, Los Angeles, CA 90035, USA","(34.058004, -118.3807003, 0.0)",34.058004,-118.3807003,0.0
2,4332020044,Beverly Grove,"1045 S Bedford St #12, Los Angeles, CA 90035","1045 S Bedford St APT 12, Los Angeles, CA 90035, USA","(34.058004, -118.3807003, 0.0)",34.058004,-118.3807003,0.0
3,4332020038,Beverly Grove,"1045 S Bedford St #6, Los Angeles, CA 90035","1045 S Bedford St APT 6, Los Angeles, CA 90035, USA","(34.058004, -118.3807003, 0.0)",34.058004,-118.3807003,0.0
4,4332020039,Beverly Grove,"1045 S Bedford St #7, Los Angeles, CA 90035","1045 S Bedford St APT 7, Los Angeles, CA 90035, USA","(34.058004, -118.3807003, 0.0)",34.058004,-118.3807003,0.0
5,4333013067,Beverly Grove,"811 S Bedford St #303, Los Angeles, CA 90035","811 S Bedford St APT 303, Los Angeles, CA 90035, USA","(34.0626041, -118.3806122, 0.0)",34.0626041,-118.3806122,0.0
6,4333013062,Beverly Grove,"811 S Bedford St #203, Los Angeles, CA 90035","811 S Bedford St APT 203, Los Angeles, CA 90035, USA","(34.0626041, -118.3806122, 0.0)",34.0626041,-118.3806122,0.0
7,4335003035,Beverly Grove,"146 N Almont Dr #6, West Hollywood, CA 90048","146 N Almont Dr APT 6, West Hollywood, CA 90048, USA","(34.076612, -118.3874706, 0.0)",34.076612,-118.3874706,0.0
8,4335014048,Beverly Grove,"8963 Burton Way #102, Los Angeles, CA 90048","8963 Burton Way APT 102, Los Angeles, CA 90048, USA","(34.0726158, -118.3872768, 0.0)",34.0726158,-118.3872768,0.0
9,4335014055,Beverly Grove,"8963 Burton Way #204, Los Angeles, CA 90048","8963 Burton Way APT 204, Los Angeles, CA 90048, USA","(34.0726158, -118.3872768, 0.0)",34.0726158,-118.3872768,0.0
10,4335014058,Beverly Grove,"8963 Burton Way #302, Los Angeles, CA 90048","8963 Burton Way APT 302, Los Angeles, CA 90048, USA","(34.0726158, -118.3872768, 0.0)",34.0726158,-118.3872768,0.0
11,4333022036,Beverly Grove,"910 S Holt Ave #301, Los Angeles, CA 90035","910 S Holt Ave APT 301, Los Angeles, CA 90035, USA","(34.0605892, -118.3779929, 0.0)",34.0605892,-118.3779929,0.0
12,4333022039,Beverly Grove,"910 S Holt Ave #304, Los Angeles, CA 90035","910 S Holt Ave APT 304, Los Angeles, CA 90035, USA","(34.0605892, -118.3779929, 0.0)",34.0605892,-118.3779929,0.0
13,4335008220,Beverly Grove,"100 S Doheny Dr #1002, Los Angeles, CA 90048","100 S Doheny Dr #1002, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
14,4335008227,Beverly Grove,"100 S Doheny Dr #1009, Los Angeles, CA 90048","100 S Doheny Dr #1009, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
15,4335008233,Beverly Grove,"100 S Doheny Dr #1015, Los Angeles, CA 90048","100 S Doheny Dr #1015, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
16,4335008234,Beverly Grove,"100 S Doheny Dr #1016, Los Angeles, CA 90048","100 S Doheny Dr #1016, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
17,4335008235,Beverly Grove,"100 S Doheny Dr #1017, Los Angeles, CA 90048","100 S Doheny Dr #1017, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
18,4335008053,Beverly Grove,"100 S Doheny Dr #303, Los Angeles, CA 90048","100 S Doheny Dr #303, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
19,4335008240,Beverly Grove,"100 S Doheny Dr #1022, Los Angeles, CA 90048","100 S Doheny Dr APT 1022, Los Angeles, CA 90048, USA","(34.0746665, -118.3892218, 0.0)",34.0746665,-118.3892218,0.0
20,4335008030,Beverly Grove,"100 S Doheny Dr #204, Los Angeles, CA 90048","100 S Doheny Dr #204, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
21,4335008041,Beverly Grove,"100 S Doheny Dr #21, Los Angeles, CA 90048","100 S Doheny Dr #21, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
22,4335008048,Beverly Grove,"100 S Doheny Dr #222, Los Angeles, CA 90048","100 S Doheny Dr #222, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
23,4335008049,Beverly Grove,"100 S Doheny Dr #223, Los Angeles, CA 90048","100 S Doheny Dr #223, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
24,4335008050,Beverly Grove,"100 S Doheny Dr #224, Los Angeles, CA 90048","100 S Doheny Dr #224, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
25,4335008054,Beverly Grove,"100 S Doheny Dr #304, Los Angeles, CA 90048","100 S Doheny Dr #304, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
26,4335008055,Beverly Grove,"100 S Doheny Dr #305, Los Angeles, CA 90048","100 S Doheny Dr #305, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
27,4335008059,Beverly Grove,"100 S Doheny Dr #309, Los Angeles, CA 90048","100 S Doheny Dr #309, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
28,4335008060,Beverly Grove,"100 S Doheny Dr #310, Los Angeles, CA 90048","100 S Doheny Dr #310, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
29,4335008064,Beverly Grove,"100 S Doheny Dr #314, Los Angeles, CA 90048","100 S Doheny Dr #314, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
30,4335008082,Beverly Grove,"100 S Doheny Dr #408, Los Angeles, CA 90048","100 S Doheny Dr #408, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
31,4335008086,Beverly Grove,"100 S Doheny Dr #41, Los Angeles, CA 90048","100 S Doheny Dr #41, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
32,4335008091,Beverly Grove,"100 S Doheny Dr #41, Los Angeles, CA 90048","100 S Doheny Dr #41, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
33,4335008087,Beverly Grove,"100 S Doheny Dr #413, Los Angeles, CA 90048","100 S Doheny Dr #413, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
34,4335008092,Beverly Grove,"100 S Doheny Dr #418, Los Angeles, CA 90048","100 S Doheny Dr #418, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
35,4335008098,Beverly Grove,"100 S Doheny Dr #424, Los Angeles, CA 90048","100 S Doheny Dr #424, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
36,4335008106,Beverly Grove,"100 S Doheny Dr #50, Los Angeles, CA 90048","100 S Doheny Dr #50, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
37,4335008105,Beverly Grove,"100 S Doheny Dr #507, Los Angeles, CA 90048","100 S Doheny Dr #507, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
38,4335008108,Beverly Grove,"100 S Doheny Dr #510, Los Angeles, CA 90048","100 S Doheny Dr #510, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
39,4335008109,Beverly Grove,"100 S Doheny Dr #511, Los Angeles, CA 90048","100 S Doheny Dr #511, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
40,4335008113,Beverly Grove,"100 S Doheny Dr #515, Los Angeles, CA 90048","100 S Doheny Dr #515, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
41,4335008114,Beverly Grove,"100 S Doheny Dr #516, Los Angeles, CA 90048","100 S Doheny Dr #516, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
42,4335008117,Beverly Grove,"100 S Doheny Dr #519, Los Angeles, CA 90048","100 S Doheny Dr #519, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
43,4335008125,Beverly Grove,"100 S Doheny Dr #603, Los Angeles, CA 90048","100 S Doheny Dr #603, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
44,4335008129,Beverly Grove,"100 S Doheny Dr #607, Los Angeles, CA 90048","100 S Doheny Dr #607, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
45,4335008134,Beverly Grove,"100 S Doheny Dr #612, Los Angeles, CA 90048","100 S Doheny Dr #612, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
46,4335008150,Beverly Grove,"100 S Doheny Dr #704, Los Angeles, CA 90048","100 S Doheny Dr #704, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
47,4335008155,Beverly Grove,"100 S Doheny Dr #709, Los Angeles, CA 90048","100 S Doheny Dr #709, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
48,4335008162,Beverly Grove,"100 S Doheny Dr #716, Los Angeles, CA 90048","100 S Doheny Dr #716, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
49,4335008168,Beverly Grove,"100 S Doheny Dr #722, Los Angeles, CA 90048","100 S Doheny Dr #722, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
50,4335008169,Beverly Grove,"100 S Doheny Dr #723, Los Angeles, CA 90048","100 S Doheny Dr #723, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
51,4335008172,Beverly Grove,"100 S Doheny Dr #802, Los Angeles, CA 90048","100 S Doheny Dr #802, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
52,4335008173,Beverly Grove,"100 S Doheny Dr #803, Los Angeles, CA 90048","100 S Doheny Dr #803, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
53,5511013051,Beverly Grove,"121 N Croft Ave #304, Los Angeles, CA 90048","121 N Croft Ave APT 304, Los Angeles, CA 90048, USA","(34.0752125, -118.3745683, 0.0)",34.0752125,-118.3745683,0.0
54,4335008183,Beverly Grove,"100 S Doheny Dr #813, Los Angeles, CA 90048","100 S Doheny Dr #813, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
55,4335008185,Beverly Grove,"100 S Doheny Dr #815, Los Angeles, CA 90048","100 S Doheny Dr #815, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
56,4335008188,Beverly Grove,"100 S Doheny Dr #818, Los Angeles, CA 90048","100 S Doheny Dr #818, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
57,4335008194,Beverly Grove,"100 S Doheny Dr #824, Los Angeles, CA 90048","100 S Doheny Dr #824, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
58,4335008203,Beverly Grove,"100 S Doheny Dr #909, Los Angeles, CA 90048","100 S Doheny Dr #909, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
59,4335008208,Beverly Grove,"100 S Doheny Dr #914, Los Angeles, CA 90048","100 S Doheny Dr #914, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
60,4335008216,Beverly Grove,"100 S Doheny Dr #922, Los Angeles, CA 90048","100 S Doheny Dr #922, Los Angeles, CA 90048, USA","(34.0746554, -118.3891531, 0.0)",34.0746554,-118.3891531,0.0
61,5511013029,Beverly Grove,"121 N Croft Ave #101, Los Angeles, CA 90048","121 N Croft Ave APT 101, Los Angeles, CA 90048, USA","(34.0752125, -118.3745683, 0.0)",34.0752125,-118.3745683,0.0
62,5511013030,Beverly Grove,"121 N Croft Ave #102, Los Angeles, CA 90048","121 N Croft Ave APT 102, Los Angeles, CA 90048, USA","(34.0752125, -118.3745683, 0.0)",34.0752125,-118.3745683,0.0
63,5511013039,Beverly Grove,"121 N Croft Ave #202, Los Angeles, CA 90048","121 N Croft Ave APT 202, Los Angeles, CA 90048, USA","(34.0752125, -118.3745683, 0.0)",34.0752125,-118.3745683,0.0
64,5511013041,Beverly Grove,"121 N Croft Ave #204, Los Angeles, CA 90048","121 N Croft Ave APT 204, Los Angeles, CA 90048, USA","(34.0752125, -118.3745683, 0.0)",34.0752125,-118.3745683,0.0
65,5511013046,Beverly Grove,"121 N Croft Ave #209, Los Angeles, CA 90048","121 N Croft Ave APT 209, Los Angeles, CA 90048, USA","(34.0752125, -118.3745683, 0.0)",34.0752125,-118.3745683,0.0
66,5511013048,Beverly Grove,"121 N Croft Ave #301, Los Angeles, CA 90048","121 N Croft Ave APT 301, Los Angeles, CA 90048, USA","(34.0752125, -118.3745683, 0.0)",34.0752125,-118.3745683,0.0
67,5511013054,Beverly Grove,"121 N Croft Ave #307, Los Angeles, CA 90048","121 N Croft Ave APT 307, Los Angeles, CA 90048, USA","(34.0752125, -118.3745683, 0.0)",34.0752125,-118.3745683,0.0
68,5511013056,Beverly Grove,"121 N Croft Ave #309, Los Angeles, CA 90048","121 N Croft Ave APT 309, Los Angeles, CA 90048, USA","(34.0752125, -118.3745683, 0.0)",34.0752125,-118.3745683,0.0
69,4335013039,Beverly Grove,"8871 Burton Way #201, West Hollywood, CA 90048","8871 Burton Way APT 201, West Hollywood, CA 90048, USA","(34.0726197, -118.3855244, 0.0)",34.0726197,-118.3855244,0.0
70,4335013038,Beverly Grove,"8871 Burton Way #202, West Hollywood, CA 90048","8871 Burton Way APT 202, West Hollywood, CA 90048, USA","(34.0726197, -118.3855244, 0.0)",34.0726197,-118.3855244,0.0
71,4335013040,Beverly Grove,"8871 Burton Way #205, West Hollywood, CA 90048","8871 Burton Way APT 205, West Hollywood, CA 90048, USA","(34.0726197, -118.3855244, 0.0)",34.0726197,-118.3855244,0.0
72,4335012067,Beverly Grove,"141 S Clark Dr #103, West Hollywood, CA 90048","141 S Clark Dr APT 103, West Hollywood, CA 90048, USA","(34.0740302, -118.3852555, 0.0)",34.0740302,-118.3852555,0.0
73,4335012074,Beverly Grove,"141 S Clark Dr #118, West Hollywood, CA 90048","141 S Clark Dr APT 118, West Hollywood, CA 90048, USA","(34.0740302, -118.3852555, 0.0)",34.0740302,-118.3852555,0.0
74,4335012078,Beverly Grove,"141 S Clark Dr #204, West Hollywood, CA 90048","141 S Clark Dr APT 204, West Hollywood, CA 90048, USA","(34.0740302, -118.3852555, 0.0)",34.0740302,-118.3852555,0.0
75,4335012079,Beverly Grove,"141 S Clark Dr #205, West Hollywood, CA 90048","141 S Clark Dr APT 205, West Hollywood, CA 90048, USA","(34.0740302, -118.3852555, 0.0)",34.0740302,-118.3852555,0.0
76,4335012084,Beverly Grove,"141 S Clark Dr #210, West Hollywood, CA 90048","141 S Clark Dr APT 210, West Hollywood, CA 90048, USA","(34.0740302, -118.3852555, 0.0)",34.0740302,-118.3852555,0.0
77,4335012086,Beverly Grove,"141 S Clark Dr #212, West Hollywood, CA 90048","141 S Clark Dr APT 212, West Hollywood, CA 90048, USA","(34.0740302, -118.3852555, 0.0)",34.0740302,-118.3852555,0.0
78,4335012095,Beverly Grove,"141 S Clark Dr #222, West Hollywood, CA 90048","141 S Clark Dr APT 222, West Hollywood, CA 90048, USA","(34.0740302, -118.3852555, 0.0)",34.0740302,-118.3852555,0.0
79,4335012129,Beverly Grove,"141 S Clark Dr #328, West Hollywood, CA 90048","141 S Clark Dr APT 328, West Hollywood, CA 90048, USA","(34.0740302, -118.3852555, 0.0)",34.0740302,-118.3852555,0.0
80,4335012130,Beverly Grove,"141 S Clark Dr #329, West Hollywood, CA 90048","141 S Clark Dr APT 329, West Hollywood, CA 90048, USA","(34.0740302, -118.3852555, 0.0)",34.0740302,-118.3852555,0.0
81,4335012136,Beverly Grove,"141 S Clark Dr #405, West Hollywood, CA 90048","141 S Clark Dr APT 405, West Hollywood, CA 90048, USA","(34.0740302, -118.3852555, 0.0)",34.0740302,-118.3852555,0.0
82,4335012138,Beverly Grove,"141 S Clark Dr #407, West Hollywood, CA 90048","141 S Clark Dr APT 407, West Hollywood, CA 90048, USA","(34.0740302, -118.3852555, 0.0)",34.0740302,-118.3852555,0.0
83,4335012143,Beverly Grove,"141 S Clark Dr #412, West Hollywood, CA 90048","141 S Clark Dr APT 412, West Hollywood, CA 90048, USA","(34.0740302, -118.3852555, 0.0)",34.0740302,-118.3852555,0.0
84,4335012147,Beverly Grove,"141 S Clark Dr #417, West Hollywood, CA 90048","141 S Clark Dr APT 417, West Hollywood, CA 90048, USA","(34.0740302, -118.3852555, 0.0)",34.0740302,-118.3852555,0.0
85,4335012156,Beverly Grove,"141 S Clark Dr #426, West Hollywood, CA 90048","141 S Clark Dr APT 426, West Hollywood, CA 90048, USA","(34.0740302, -118.3852555, 0.0)",34.0740302,-118.3852555,0.0
86,4335012159,Beverly Grove,"141 S Clark Dr #429, West Hollywood, CA 90048","141 S Clark Dr APT 429, West Hollywood, CA 90048, USA","(34.0740302, -118.3852555, 0.0)",34.0740302,-118.3852555,0.0
87,4335012162,Beverly Grove,"141 S Clark Dr #523, West Hollywood, CA 90048","141 S Clark Dr APT 523, West Hollywood, CA 90048, USA","(34.0740302, -118.3852555, 0.0)",34.0740302,-118.3852555,0.0
88,5510026071,Beverly Grove,"6151 Orange St #121, Los Angeles, CA 90048","6151 Orange St APT 121, Los Angeles, CA 90048, USA","(34.0645011, -118.3633197, 0.0)",34.0645011,-118.3633197,0.0
89,5510026099,Beverly Grove,"6151 Orange St #305, Los Angeles, CA 90048","6151 Orange St APT 305, Los Angeles, CA 90048, USA","(34.0645011, -118.3633197, 0.0)",34.0645011,-118.3633197,0.0
90,4334016050,Beverly Grove,"8568 Burton Way #108, Los Angeles, CA 90048","8568 Burton Way APT 108, Los Angeles, CA 90048, USA","(34.071862, -118.3790164, 0.0)",34.071862,-118.3790164,0.0
