,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,GRANT DEED,IN LIEU OF FORC,INTERSPOUSAL,JOINT TENANT,NAME CHANGE,Other,PARTNERSHIP,PERSONAL REP,QUIT CLAIM,RE-RECORD,TAX DEED,TRUST TRANSFER,TRUSTEES,WARRANTY,Prediction,Actual
0,5087012023,0,0,0,0,0,289000,116000,173000,0,0,0,60,3672,2016,0,0,0,0,0,1935,1936,6773,2033,1,1,1,0,0,1.0,1,1,3,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0
1,4332020041,0,0,1,0,0,151323,41266,110057,0,0,151323,73,101,1996,1,304500,1,388100,1,1964,1969,11831,1142,0,0,14,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2,4332020051,0,0,0,0,0,376863,223789,153074,0,0,0,41,4620,2004,0,0,0,0,0,1964,1969,11831,1913,1,1,14,1,1,3.0,1,0,2,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,4332020042,0,0,1,0,1,255813,148748,107065,0,1,7000,42,3064,2002,0,205000,1,100000,1,1964,1969,11831,1066,0,1,14,1,1,1.0,1,0,2,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,4332020043,1,0,1,0,1,176090,38515,137575,0,0,0,78,2207,2014,0,0,0,0,0,1964,1969,11831,1315,0,1,14,1,1,1.0,1,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
5,4332020044,0,0,1,0,1,275269,163327,111942,0,0,0,41,3384,2002,0,225000,1,150000,1,1964,1969,11831,1186,0,0,14,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
6,4332020052,0,0,0,0,1,436896,310821,126075,0,0,0,29,5298,2012,0,420000,0,0,0,1964,1969,11831,1016,0,0,14,0,0,0.0,0,0,2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,4332020053,0,0,0,0,0,157914,43062,114852,0,0,0,73,1897,2016,0,0,0,0,0,1964,1969,11831,1193,1,1,14,1,1,1.0,1,0,2,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,4332020036,0,0,0,0,1,299738,177397,122341,0,1,7000,41,3900,2010,0,0,1,191000,1,1964,1969,11831,1154,1,1,14,1,1,3.0,1,0,2,2,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,4332020037,1,0,0,0,0,164133,43386,120747,0,1,7000,74,1971,1998,0,0,0,0,0,1964,1969,11831,1066,0,0,14,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
10,4332020038,1,0,0,0,1,161077,32210,128867,0,0,0,80,1942,2009,0,0,0,0,0,1964,1969,11831,1234,1,1,14,1,1,3.0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
11,4332020039,0,0,1,0,0,446673,359971,86702,0,1,7000,19,5343,2007,0,480000,0,0,0,1964,1969,11831,1186,1,1,14,0,0,1.0,1,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
12,4332020040,1,0,0,0,1,414349,273690,140659,0,0,0,34,5039,2012,0,0,1,215000,1,1964,1969,11831,1130,0,0,14,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
13,4333013067,0,1,1,0,0,281088,193640,87448,0,0,0,31,3427,2008,1,4500000,1,179155,1,1965,1985,11255,790,0,0,13,0,0,0.0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
14,4333013059,0,0,0,0,1,573911,374666,199245,0,0,0,35,6958,2013,0,0,0,0,0,1965,1985,11255,1502,0,0,13,1,0,5.0,0,0,3,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0
15,4333013060,0,0,0,0,1,578691,116753,461938,0,0,0,80,6979,2015,0,475000,1,380000,1,1965,1985,11255,894,0,0,13,0,0,0.0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
16,4333013061,0,0,0,0,1,624378,126906,497472,0,1,7000,80,7449,2015,0,615000,1,417000,1,1965,1985,11255,1072,0,0,13,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
17,4333013062,0,0,0,0,1,440101,336548,103553,0,1,7000,24,5239,2014,0,425000,1,340000,1,1965,1985,11255,790,0,0,13,0,0,0.0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
18,4333013063,0,0,0,0,1,609150,507625,101525,0,0,0,17,7369,2016,0,725000,1,350000,1,1965,1985,11255,1435,0,0,13,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19,4333013064,0,0,0,0,1,633120,259741,373379,0,0,0,59,7665,2011,0,585000,1,275000,1,1965,1985,11255,1656,0,0,13,0,0,0.0,0,0,3,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20,4333013065,0,0,0,0,1,499402,327121,172281,0,1,7000,34,5951,2009,0,458000,1,449704,1,1965,1985,11255,894,0,0,13,0,0,0.0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
21,4333013066,0,0,0,0,1,569543,310660,258883,0,0,0,45,6879,2013,0,550000,1,440000,1,1965,1985,11255,1072,0,0,13,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
