,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,GRANT DEED,IN LIEU OF FORC,INTERSPOUSAL,JOINT TENANT,NAME CHANGE,Other,PARTNERSHIP,PERSONAL REP,QUIT CLAIM,RE-RECORD,TAX DEED,TRUST TRANSFER,TRUSTEES,WARRANTY,Prediction,Actual
0,5085010022,0,0,0,0,1,1157385,925908,231477,0,0,0,20,14144,2014,0,1140000,1,775200,1,1905,1938,7134,1895,1,1,1,1,1,1.0,1,1,3,2,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,5085033008,0,0,1,0,0,57047,40994,16053,0,0,0,28,858,1980,0,0,0,0,0,1906,1916,6034,1108,0,0,0,0,0,0.0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2,5085032022,0,0,0,0,1,651485,521193,130292,0,1,7000,20,8044,2007,0,0,0,0,0,1909,1937,7844,2004,0,0,0,0,0,0.0,0,0,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,5510005006,1,0,1,0,0,85697,74539,11158,0,0,0,13,1325,1988,0,0,0,0,0,1909,1927,11510,2778,1,0,0,0,0,1.0,1,1,4,5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
4,5089024002,0,0,0,0,0,62487,42013,20474,0,1,7000,33,876,2008,0,0,0,0,0,1910,1924,6689,1568,1,1,0,1,1,1.0,1,1,3,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,5511041026,0,0,0,0,1,378887,239684,139203,0,0,0,37,4745,1996,0,270000,1,189000,1,1910,1932,6251,2191,1,1,0,0,0,1.0,1,1,4,2,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,5511041020,0,0,0,0,1,1509807,1207846,301961,0,0,0,20,18200,2014,0,1458000,1,947700,1,1910,1917,6251,1620,1,1,0,0,0,2.0,1,1,5,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,5510002028,1,0,0,0,1,3200000,2240000,960000,0,0,0,30,41607,2015,0,3200000,0,0,0,1915,2015,6051,3121,1,1,1,0,0,1.0,1,1,4,5,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,5511039001,0,0,0,0,1,292060,189308,102752,0,0,0,35,3770,2014,0,0,1,350000,1,1916,1916,8104,2627,1,1,0,0,0,1.0,1,1,3,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
9,5085030024,1,0,0,0,0,930216,783033,147183,0,0,0,16,11287,2010,0,0,0,0,0,1920,1925,5770,1598,0,0,0,0,0,0.0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
10,5089024040,0,0,0,0,1,750647,600520,150127,0,0,0,20,9131,2016,0,0,0,0,0,1920,1934,7502,2579,0,0,1,0,0,0.0,0,0,4,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
11,5511044010,0,0,1,0,1,88379,58378,30001,0,0,0,34,1164,2017,0,0,0,0,0,1920,1930,6251,1356,1,1,1,1,1,1.0,1,1,3,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
12,5511039028,0,0,0,0,1,865806,541129,324677,0,0,0,37,10449,2016,0,0,1,500000,1,1921,1926,6552,1922,0,0,1,0,0,0.0,0,0,3,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
