,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,Prediction,Actual
0,5505026001,1,0,1,0,0,2054958,1583885,471073,0,0,0,0,25036,2000,0,1495000,0,0,0,1919,1919,19738,4412,0,0,1,0,0,0.0,0,0,6,5,0,0,0,0,0,0,0,0,0,,
1,5515028023,1,0,0,0,0,915420,592174,323246,0,0,0,0,11125,2000,0,625000,1,500000,1,1923,1923,6240,2143,0,0,1,0,0,0.0,0,0,4,2,0,0,0,0,0,0,0,0,0,0.0,0.0
2,5515022015,1,0,0,0,0,1304706,731909,572797,0,0,0,0,15868,2000,0,1025000,1,725000,1,1923,1923,7405,3246,0,0,1,0,0,0.0,0,0,5,3,0,0,0,0,0,0,0,0,1,,
3,5513010003,1,0,0,0,0,2518796,1609956,908840,0,0,0,0,30591,2000,0,1940500,1,1452390,1,1935,1935,13512,4997,0,0,1,0,0,0.0,0,0,5,6,0,0,0,0,0,0,0,0,0,,
4,5515012030,1,0,1,0,0,1428176,999727,428449,0,0,0,0,17576,2000,0,1100000,1,880000,1,1969,1969,14453,6682,0,0,1,0,0,0.0,0,0,5,7,0,0,0,0,0,0,0,0,0,,
5,5516002020,1,0,0,0,0,1167489,689700,477789,0,0,0,0,14242,2000,0,840000,1,672000,1,1921,1921,8485,3324,0,0,1,0,0,0.0,0,0,5,3,0,0,0,0,0,0,0,0,0,,
6,5523032024,1,0,0,0,0,616705,493369,123336,0,0,0,0,7604,2000,0,475000,1,332500,1,1921,1921,6749,1827,0,0,1,0,0,0.0,0,0,3,1,0,0,0,0,0,0,0,0,0,,
7,5523011007,0,0,0,0,0,835210,560384,274826,0,0,0,0,10212,2000,0,491500,1,241200,1,1921,1921,7025,1816,0,0,1,0,0,0.0,0,0,2,1,0,0,0,0,0,0,0,0,0,,
8,5515019003,1,0,0,0,0,670090,536077,134013,0,0,0,0,8137,2000,0,506000,1,360000,1,1920,1920,6742,1512,0,0,1,0,0,0.0,0,0,3,3,0,0,0,0,0,0,0,0,0,,
9,5515029004,1,0,0,0,0,1317803,569451,748352,0,0,0,0,16170,2000,0,975000,1,780000,1,1925,1925,10130,3432,0,0,1,0,0,0.0,0,0,4,4,0,0,0,0,0,0,0,0,0,1.0,0.0
10,5516004032,1,0,0,0,0,1558017,986746,571271,0,0,0,0,18994,2000,0,1200000,1,954000,1,1921,1921,13152,3683,0,0,1,0,0,0.0,0,0,4,4,0,0,0,0,0,0,0,0,0,,
11,5516020014,0,0,0,0,0,795562,422717,372845,0,0,0,0,9802,2000,0,399000,1,319200,1,1918,1918,6889,2902,0,0,1,0,0,0.0,0,0,4,2,0,0,0,0,0,0,0,0,0,,
12,5516016025,0,0,0,0,0,788751,631034,157717,0,0,0,0,9700,2000,0,585000,1,468000,1,1910,1910,10154,3345,0,0,1,0,0,0.0,0,0,5,3,0,0,0,0,0,0,0,0,0,,
13,5516023003,1,0,0,0,0,582687,466154,116533,0,0,0,0,7198,2000,0,440000,1,352000,1,1912,1912,9304,2709,0,0,1,0,0,0.0,0,0,6,3,0,0,0,0,0,0,0,0,1,,
14,5515023004,0,0,0,0,0,732290,518993,213297,0,0,0,0,8927,2000,0,521500,1,417200,1,1923,1923,7200,2063,0,0,1,0,0,0.0,0,0,3,2,0,0,0,0,0,0,0,0,1,,
15,5524033018,0,0,0,0,0,1741473,1003831,737642,0,0,0,0,21218,2000,0,1315000,0,0,0,1938,1938,13522,3579,0,0,1,0,0,0.0,0,0,4,4,0,0,0,0,0,0,0,0,0,,
16,5515020005,1,0,0,0,0,545294,436240,109054,0,0,0,0,6716,2000,0,420000,1,260000,1,1920,1920,6498,1326,0,0,1,0,0,0.0,0,0,3,1,0,0,0,0,0,0,0,0,0,0.0,0.0
17,5515016006,0,0,0,0,0,715119,572100,143019,0,0,0,0,8811,2000,0,540000,1,432000,1,1921,1921,7018,2370,0,0,1,0,0,0.0,0,0,3,2,0,0,0,0,0,0,0,0,0,,
