,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,GRANT DEED,INTERSPOUSAL,JOINT TENANT,Other,PARTNERSHIP,QUIT CLAIM,RE-RECORD,TAX DEED,TRUST TRANSFER,TRUSTEES,WARRANTY,Prediction,Actual
0,5576001050,0,0,0,0,1,233350,125784,107566,0,1,1,46,2872,2004,0,0,1,240000,1,1965,1968,18020,928,0,1,40,1,1,1.0,1,0,1,2,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,
1,5579039019,0,0,1,0,0,131234,52489,78745,0,0,0,60,1783,1985,0,75000,0,0,0,1980,1980,7171,1050,0,1,4,1,1,2.0,1,0,2,2,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,
2,5579039020,0,0,1,0,0,131234,52489,78745,0,0,0,60,1786,1985,0,75000,0,0,0,1980,1980,7171,1095,0,1,4,1,1,2.0,1,0,2,2,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,
3,5586011046,0,0,1,0,1,576707,461578,115129,0,0,0,20,7081,2013,0,0,0,0,0,1990,1990,69261,1238,0,1,47,1,1,3.0,1,0,2,2,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,
4,5577010059,0,0,1,0,1,355257,242680,112577,0,1,1,32,4367,2003,0,290000,1,101000,1,1975,1975,598534,898,1,1,174,1,1,1.0,1,0,2,2,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5,5577010018,0,0,1,0,1,442170,309570,132600,0,0,0,30,5494,2016,0,433500,1,200000,1,1975,1975,598534,1008,1,1,174,1,1,1.0,1,0,2,2,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,
6,5577010104,1,0,0,0,1,139491,41817,97674,0,1,1,70,1799,1992,0,0,0,0,0,1975,1975,598534,1000,0,1,174,1,1,1.0,1,0,2,2,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,,
7,5577010031,0,0,1,0,1,168831,37947,130884,0,0,0,78,2243,1998,0,125000,1,93750,0,1975,1975,598534,1181,0,1,174,1,1,1.0,1,0,2,2,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,
8,5582012017,0,0,0,0,1,1038669,808869,229800,0,1,1,22,12786,2015,0,0,1,930000,1,1957,1968,7729,2653,1,0,1,0,0,1.0,1,1,2,4,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,
9,5577007150,0,0,0,0,1,197282,102077,95205,0,1,1,48,2451,2001,0,155000,1,108500,1,1981,1982,108134,812,0,1,79,1,1,1.0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,
10,5586014105,0,0,0,0,1,683384,202971,480413,0,1,1,70,8262,2004,0,569000,1,450000,1,1990,1990,26353,1340,0,1,18,1,1,0.0,1,0,2,3,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,
11,5576001036,0,0,0,0,1,531000,385000,146000,0,0,0,27,6526,2006,0,485000,1,285000,1,1965,1968,18020,1258,0,1,40,1,1,4.0,1,0,2,2,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,
12,5577007117,0,0,0,0,1,383153,243354,139799,0,0,0,36,4770,2016,0,0,1,218000,1,1981,1982,108134,1129,0,1,79,1,1,3.0,1,0,2,2,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,
13,5586009024,0,0,0,0,1,460000,320000,140000,0,1,1,30,5601,2016,0,460100,1,437000,1,1982,1982,7900,1004,1,1,6,1,1,2.0,1,0,2,2,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
