,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,GRANT DEED,INTERSPOUSAL,JOINT TENANT,Other,PARTNERSHIP,QUIT CLAIM,RE-RECORD,TAX DEED,TRUST TRANSFER,TRUSTEES,WARRANTY,Prediction,Actual
0,5586017003,1,0,0,0,1,1214294,871974,342320,0,1,1,28,14939,2012,0,0,0,0,0,1982,1982,7424,4273,1,1,0,1,1,3.0,1,1,4,4,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1,5579035002,0,0,0,0,1,641575,485483,156092,0,1,1,24,7977,2012,0,0,0,0,0,1946,1954,14826,2691,1,1,0,0,0,2.0,1,1,3,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0
2,5585001002,1,0,0,0,1,2867782,1837599,1030183,0,0,0,36,35015,2004,1,0,1,1100000,1,1942,2005,22807,4630,1,0,0,0,0,1.0,1,1,3,4,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,
3,5577038025,0,0,0,0,0,1204724,890187,314537,0,0,0,26,14878,2011,0,1008000,1,729750,1,1965,1970,13795,2828,1,1,0,0,0,2.0,1,1,4,3,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0
4,5577036009,0,0,0,0,1,1125742,909097,216645,0,1,1,19,13822,2011,0,1050000,1,729750,1,1965,1975,14123,2172,1,1,0,1,1,1.0,1,1,4,3,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,
5,5577036010,1,0,0,0,1,719665,429416,290249,0,1,1,40,8995,2007,0,0,0,0,0,1965,1970,12900,2686,1,1,0,1,1,2.0,1,1,5,3,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,1.0
6,5577020007,1,0,0,0,1,1397998,931999,465999,0,0,0,33,17195,2015,0,0,0,0,0,1957,1969,12475,3217,1,1,1,0,0,1.0,1,1,4,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,
7,5577036007,1,0,1,0,0,458522,192505,266017,0,0,0,58,5977,2016,0,0,0,0,0,1965,1968,14877,2290,1,1,1,0,0,1.0,1,1,5,3,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,
8,5577037005,1,0,0,0,1,1223833,979070,244763,0,1,1,20,15074,2003,0,999000,1,649000,1,1965,1967,18605,3502,1,1,1,0,0,2.0,1,1,5,4,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,
9,5577037023,0,0,0,0,1,1361828,994463,367365,0,0,0,27,16784,2004,0,1035000,1,635000,1,1965,1977,15539,3344,1,1,0,1,1,1.0,1,1,4,3,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,
10,5577037011,0,0,0,0,1,1890766,1339442,551324,0,0,0,29,23070,2010,0,1700000,1,729750,1,1965,1980,18847,2997,1,1,0,1,1,1.0,1,1,4,4,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,
11,5577037007,0,0,0,0,0,1078945,721277,357668,0,1,1,33,13352,2000,0,0,0,0,0,1965,1970,18844,3569,1,1,0,1,1,2.0,1,1,4,4,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,
12,5577037031,1,0,1,0,1,1112253,535560,576693,0,1,1,52,13824,2007,0,0,0,0,0,1965,1980,29534,4162,1,1,0,1,1,2.0,1,1,4,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,,
13,5577036040,1,0,0,0,1,1144632,882162,262470,0,1,1,23,14219,2008,0,0,0,0,0,1964,1964,15073,3218,1,1,0,1,1,2.0,1,1,5,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,
14,5577035029,0,0,1,0,1,1384476,996633,387843,0,1,1,28,16936,2015,0,0,0,0,0,1971,1998,12434,3022,1,1,1,1,1,1.0,1,1,4,4,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0
15,5577037010,1,0,0,0,1,1497929,1048552,449377,0,0,0,30,18423,2015,0,0,0,0,0,1965,1966,18915,3218,1,1,1,1,1,2.0,1,1,5,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0
16,5577038015,0,0,0,0,0,803368,442961,360407,0,1,1,45,9997,2016,0,0,0,0,0,1971,1980,19749,2539,1,1,1,1,1,2.0,1,1,4,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,,
17,5577037022,0,0,0,0,0,420918,210459,210459,0,0,0,50,5492,1996,0,0,0,0,0,1965,1965,17122,2157,1,1,0,1,1,1.0,1,1,3,3,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
18,5579021002,0,0,1,0,1,1880114,1404805,475309,0,1,1,25,22772,2013,1,1810000,1,1448000,1,1926,1990,7934,2566,1,1,1,1,1,1.0,1,1,3,3,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,
19,5579030018,0,0,0,0,1,2037187,1252191,784996,0,1,1,39,24710,2007,0,1800000,1,1000000,1,1982,1982,5925,3860,1,1,1,1,1,2.0,1,1,4,4,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,
20,2429013011,0,0,0,0,1,1051530,649355,402175,0,0,0,38,12955,2011,0,790000,1,417000,1,1959,1990,8846,3484,1,1,0,0,0,1.0,1,1,5,4,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,
21,5586001029,0,0,0,0,0,825374,678477,146897,0,0,0,18,10118,1992,0,0,0,0,0,1954,1954,5379,1471,1,1,0,0,0,1.0,1,1,2,3,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
22,5577027010,0,0,1,0,1,1426587,1010288,416299,0,1,1,29,17305,2006,1,0,1,1332000,1,1923,1930,5451,3391,1,1,1,0,0,2.0,1,1,3,4,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,
23,5572005009,0,0,0,0,1,1527463,1051025,476438,0,1,1,31,18775,2002,0,0,1,960000,1,1953,1955,24397,3293,1,1,0,1,1,1.0,1,1,4,4,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,
24,2429008027,0,0,0,0,1,1152000,896000,256000,0,0,0,22,14090,2007,0,1275000,1,1000000,1,1938,1968,7062,1401,1,1,0,1,1,1.0,1,1,3,2,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0
25,5586001030,0,0,0,0,1,1324170,792238,531932,0,0,0,40,16148,2008,0,1200000,1,900000,1,1924,1924,4872,2567,1,1,0,1,1,2.0,1,1,4,3,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,
26,5579021004,0,0,1,0,1,1112210,758863,353347,0,0,0,32,13851,2009,0,1000000,1,558000,1,1939,1965,9341,3750,1,1,0,1,1,1.0,1,1,3,3,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,
27,5577037001,0,0,1,0,1,1898824,1436268,462556,0,1,1,24,23123,2012,0,0,1,1212000,1,1965,1975,12468,2553,1,1,0,1,1,1.0,1,1,4,4,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,
28,5579025022,0,0,0,0,1,2445696,1384657,1061039,0,1,1,43,29707,2012,0,2305000,1,1100000,1,1936,1983,12307,3779,1,1,0,1,1,1.0,1,1,4,5,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0
29,5572014013,1,0,1,0,1,1181722,780931,400791,0,1,1,34,14545,2013,0,0,1,550000,1,1962,1965,59360,3574,1,1,0,1,1,1.0,1,1,5,4,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,
30,5577038026,0,0,0,0,1,1531133,1044062,487071,0,1,1,32,18751,2013,0,1230000,1,800000,1,1965,1985,14652,3816,1,1,0,0,0,1.0,1,1,5,5,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,
31,5572022009,0,1,1,0,0,2931079,1894903,1036176,0,0,0,35,35493,2015,0,0,1,1803750,1,1961,1961,22261,2868,1,1,1,1,1,1.0,1,1,2,3,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,
