,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,INTERSPOUSAL,JOINT TENANT,NAME CHANGE,Other,PERSONAL REP,QUIT CLAIM,RE-RECORD,TRUST TRANSFER,TRUSTEES,WARRANTY,Prediction,Actual
0,5567023035,0,0,0,1,1,692637,577201,115436,0,7000,1,17,8349,2013,1,0,1,496000,1,1923,1925,3649,1470,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,
1,5569007070,0,0,1,0,1,3694769,2126298,1568471,0,0,0,42,44721,2009,0,1950000,1,1462500,1,2013,2013,13715,6162,0,0,0,0,0,0,0,0,5,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0
2,5563024001,0,0,1,1,1,110955,110955,0,0,0,0,0,1370,2008,1,1200000,0,0,0,1997,1997,17978,1584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
3,5564008023,0,0,0,1,1,635221,206629,428592,0,7000,1,67,7899,2001,0,0,0,0,0,1971,1972,12100,4025,1,1,0,1,1,1,1,1,3,3,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,,
4,5560010011,0,0,1,1,1,9028955,6526957,2501998,0,0,0,28,108145,2008,0,8400000,0,0,0,1977,1977,17111,7388,1,1,0,0,0,3,1,1,5,7,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,
5,5571005013,0,0,1,1,0,4234196,3463225,770971,0,0,0,18,50933,2008,0,0,0,0,0,1941,1988,36032,5155,1,1,0,1,1,2,1,1,6,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,,
6,2427017022,0,0,0,1,1,954105,654245,299860,0,0,0,31,11694,2012,0,0,1,625500,1,1979,1979,21294,2251,1,1,0,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,,
7,5570016012,0,1,1,0,1,2020000,1616000,404000,0,0,0,20,24440,2015,0,2020000,0,0,0,1979,1979,14806,3425,1,1,1,1,1,3,1,1,4,3,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,,
8,5549014025,0,1,1,0,1,2335075,1868060,467015,0,0,0,20,28215,2015,0,2300000,0,0,0,1951,1957,27805,2630,1,1,1,1,1,2,1,1,2,3,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,
9,5575011001,0,0,1,0,1,1493809,896286,597523,0,0,0,40,18244,2016,0,2500000,1,1500000,1,1927,1936,11759,4735,1,1,1,1,1,2,1,1,3,4,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0
10,5551010040,1,0,1,0,1,5422294,3743818,1678476,0,7000,1,31,65107,2002,1,0,1,1100000,1,1957,1957,54303,7756,1,1,0,1,1,2,1,1,4,6,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,,
11,5572020003,0,0,0,1,0,1280045,692692,587353,0,7000,1,46,15817,2006,1,0,0,0,0,1911,1924,150530,6699,1,1,0,0,0,2,1,1,6,7,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,
12,5556033012,0,1,1,1,1,19596407,10355346,9241061,0,0,0,47,234229,2014,1,18825000,1,7000000,1,1937,1980,168038,6317,1,1,0,0,0,2,1,1,6,7,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,
13,5561015016,0,0,0,1,1,981615,603035,378580,0,7000,1,39,11914,1994,1,525000,1,300000,1,1940,1944,9891,2806,1,1,0,1,1,1,1,1,3,3,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,
14,5559010018,1,0,0,1,1,1615120,950098,665022,0,7000,1,41,19572,2003,0,0,0,0,0,1937,1964,24428,4119,1,1,0,0,0,2,1,1,4,5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,,
15,5561009038,1,0,0,0,1,1994883,1462581,532302,0,0,0,27,24273,2003,0,0,1,1600000,1,1975,1988,16723,4011,1,1,0,1,1,1,1,1,5,4,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0
16,5571006003,0,0,0,1,1,1636010,1308786,327224,0,7000,1,20,19815,2004,0,1389500,1,1000000,1,1940,1946,17946,4185,1,1,0,0,0,2,1,1,6,5,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,
17,5561020002,1,0,1,1,1,1130230,715421,414809,0,7000,1,37,13735,2004,0,0,0,0,0,1939,1973,12225,3482,1,1,0,1,1,2,1,1,4,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,,
18,5569026017,0,0,1,1,0,1106481,891852,214629,0,0,0,19,13541,2005,0,0,0,0,0,1976,1983,7969,2867,1,1,0,0,0,1,1,1,4,5,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
19,5559008008,1,0,0,1,0,3722964,2972602,750362,0,7000,1,20,44786,2006,0,0,0,0,0,1935,1942,11420,4244,1,1,0,1,1,2,1,1,5,5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,,
20,5569007052,0,0,0,0,1,2880244,1769937,1110307,0,0,0,39,34855,2006,0,2495000,1,1746500,1,1976,1980,19135,4388,1,1,0,1,1,1,1,1,4,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,,
21,5549007011,0,0,0,0,1,2884146,1409171,1474975,0,7000,1,51,34737,2007,0,2500000,1,2000000,1,1955,1995,11114,4010,1,1,0,0,0,2,1,1,4,6,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,,
22,5570019003,1,0,1,0,1,585152,144124,441028,0,7000,1,75,7353,2008,0,0,0,0,0,1939,1967,34135,5114,1,1,0,0,0,2,1,1,4,5,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,
23,5564032036,0,0,0,1,1,1204460,795259,409201,0,0,0,34,14725,2010,0,0,1,729750,1,1962,1966,15565,3165,1,1,0,0,0,2,1,1,4,3,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,
24,5565035049,0,0,0,0,1,2537900,1731617,806283,0,7000,1,32,30564,2011,0,0,0,0,0,1959,1975,32569,3702,1,1,0,0,0,1,1,1,5,3,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,
25,5569023016,0,0,0,1,0,722716,375975,346741,0,7000,1,48,8999,2011,0,0,0,0,0,1976,1980,20043,3232,1,1,0,1,1,2,1,1,4,4,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,,
26,4392010005,0,0,1,1,1,3358424,2100858,1257566,0,0,0,37,40567,2011,0,2475000,0,0,0,1935,1960,14030,3977,1,1,0,0,0,2,1,1,4,5,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0
27,5570005004,0,0,0,1,0,1017060,626460,390600,0,7000,1,38,12293,2012,0,0,0,0,0,1965,1965,7011,2340,1,1,0,1,1,2,1,1,2,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,,
28,5560016012,1,0,1,1,1,8842005,7073604,1768401,0,0,0,20,105876,2012,0,8500000,0,0,0,1942,1960,31300,5935,1,1,0,0,0,2,1,1,5,7,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,
29,5561019001,1,0,0,0,1,5798993,3727924,2071069,0,7000,1,36,69402,2013,0,5600000,1,3250000,1,1939,1957,14405,4440,1,0,0,0,0,2,0,1,3,4,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,
30,5558026005,1,0,1,0,1,1812185,1449748,362437,0,0,0,20,22078,2013,0,1750000,0,0,0,1953,1967,8705,3405,1,1,0,0,0,2,1,1,3,3,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,,
31,5561009026,0,0,0,0,1,1364041,1059453,304588,0,0,0,22,16714,2014,0,0,1,1350000,1,1961,1963,23278,3022,1,1,0,0,0,2,1,1,3,3,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0
32,5569028025,0,0,1,1,1,2008935,1607148,401787,0,0,0,20,24346,2014,0,1940000,1,1157000,1,1974,1974,10574,2788,1,1,0,1,1,1,1,1,4,5,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,,
33,5561001017,1,0,0,1,1,1307031,815177,491854,0,7000,1,38,15786,2015,0,0,1,635000,1,1976,1976,11009,3232,1,1,1,1,1,2,1,1,4,4,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
34,5550003003,0,0,0,1,1,2164519,1134533,1029986,0,7000,1,48,26160,2015,0,0,0,0,0,1912,1915,10498,4398,1,1,1,1,1,2,1,1,5,4,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,
35,5561024012,1,0,1,0,1,25381250,21320250,4061000,0,0,0,16,303166,2015,0,25000000,0,0,0,2014,2014,16743,8218,1,1,0,1,1,1,1,1,5,7,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0
