,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,GIFT,GRANT DEED,INTERSPOUSAL,JOINT TENANT,MEMO AGREE SALE,NAME CHANGE,ORD OF CONDEMN,Other,PARTNERSHIP,QUIT CLAIM,RE-RECORD,SHERIFFS,SPECIAL WARRANTY,TAX DEED,TRUST TRANSFER,TRUSTEES,WARRANTY,Prediction,Actual
0,5524005031,0,0,1,0,0,189433,47704,141729,0,0,0,75,2360,1996,0,77000,0,0,0,1985,1985,7264,1209,0,0,9,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
1,5550007039,0,0,0,0,1,211875,62367,149508,0,0,0,71,2587,2016,0,0,0,0,0,1980,1980,8037,1275,0,1,9,1,1,1.0,1,0,2,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
2,5548011042,0,0,1,0,1,391498,240284,151214,0,0,0,39,4699,2016,0,725000,0,0,0,1981,1981,7154,1401,0,1,6,1,1,2.0,1,0,2,3,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,5550016028,0,0,0,0,1,399327,99828,299499,0,1,7000,75,4782,2012,0,0,1,337500,1,1985,1985,11541,1485,0,1,24,1,1,1.0,1,0,2,3,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
4,5550016036,0,0,0,0,1,487013,219264,267749,0,1,7000,55,5828,2011,0,450000,1,360000,1,1985,1985,11541,1512,0,1,24,1,1,1.0,1,0,3,3,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,5550016042,0,0,1,1,1,817276,204065,613211,0,0,0,75,9862,2015,0,805000,0,0,0,1985,1985,11541,1858,0,1,24,1,1,1.0,1,0,2,3,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,5550007033,1,0,0,0,0,276686,44258,232428,0,1,7000,84,3359,2005,0,0,0,0,0,1980,1980,8037,1275,0,1,9,1,1,3.0,1,0,2,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0
7,5550007037,1,0,0,0,0,185390,46345,139045,0,1,7000,75,2271,2012,0,0,0,0,0,1980,1980,8037,1263,0,1,9,1,1,3.0,1,0,2,2,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,5533001036,0,0,1,1,1,391611,282832,108779,0,0,0,28,4764,2009,0,360000,1,288000,1,1982,1982,11631,1135,0,1,14,1,1,2.0,1,0,2,2,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,5531012033,1,0,0,0,1,176604,1663,174941,0,1,7000,99,2113,2012,0,0,0,0,0,1985,1985,11659,954,0,1,14,1,1,2.0,1,0,2,3,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
