,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,GIFT,GRANT DEED,INTERSPOUSAL,JOINT TENANT,MEMO AGREE SALE,NAME CHANGE,ORD OF CONDEMN,Other,PARTNERSHIP,QUIT CLAIM,RE-RECORD,SHERIFFS,SPECIAL WARRANTY,TAX DEED,TRUST TRANSFER,TRUSTEES,WARRANTY,Prediction,Actual
0,5537019032,0,0,1,0,1,113490,112082,1408,0,0,0,1,1421,2012,0,0,0,0,0,1913,1919,2953,895,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
1,5535011014,0,0,1,0,0,269134,235503,33631,0,0,0,12,3407,1986,0,160000,0,0,0,1919,1919,4200,1242,0,0,0,0,0,0.0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2,5537009909,0,0,1,0,0,67146,67146,0,0,0,0,0,0,2002,0,0,0,0,0,0,1919,3185,992,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,5534006007,0,0,0,0,0,421839,186956,234883,0,1,7000,56,5150,2000,0,205000,0,0,0,1911,1930,6880,1492,0,0,0,0,0,0.0,0,0,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,5536009007,0,0,1,0,0,299736,239794,59942,0,0,0,20,3716,2016,0,0,0,0,0,1906,1906,7500,1148,1,1,1,1,1,0.0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
5,5538005020,0,0,1,0,0,918000,650000,268000,0,0,0,29,11257,2015,0,0,0,0,0,1912,1912,9015,3119,1,0,1,0,0,2.0,0,0,4,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
6,5547025016,0,0,1,0,0,80555,57746,22809,0,0,0,28,1189,2017,0,0,0,0,0,1919,1919,5956,1105,1,0,0,0,0,1.0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
7,5547028002,0,0,0,0,0,100201,53615,46586,0,0,0,46,1400,2014,0,0,0,0,0,1920,1921,6975,1486,0,0,0,0,0,1.0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,5534003009,0,0,0,0,0,257391,215518,41873,0,1,7000,16,3187,1991,0,25000,0,0,0,1920,1922,6750,1442,1,0,0,0,0,1.0,0,0,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
9,5550011004,0,0,0,0,1,632275,278101,354174,0,1,7000,56,7744,2002,0,0,1,285000,1,1912,1995,7000,2920,1,1,0,0,0,1.0,1,1,3,4,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
