,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,Prediction,Actual
0,5588026045,0,0,1,0,1,205126,75168,129958,0,0,0,0,2522,2000,0,158000,1,126400,1,1966,1966,93226,777,0,0,1,0,0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,,
1,5588026048,1,0,1,0,1,364723,217939,146784,0,0,0,0,2275,2000,0,141000,1,100000,1,1966,1966,93226,992,0,0,1,0,0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,,
2,5588026066,0,0,0,0,1,324573,95459,229114,0,0,0,0,3874,2000,0,255000,1,204000,1,1966,1966,93226,1067,0,0,1,0,0,0.0,0,0,1,2,0,0,0,0,0,0,0,0,0,,
3,5588026121,1,0,1,0,1,168774,33751,135023,0,0,0,0,2091,2000,0,130000,1,104000,1,1966,1966,93226,836,0,0,1,0,0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0
4,5588026137,0,0,1,0,1,202377,65166,137211,0,0,0,0,2491,2000,0,159000,1,151050,1,1966,1966,93226,836,0,0,1,0,0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,1,,
5,5590005059,0,0,1,0,1,99272,24305,74967,0,0,0,0,1194,2000,0,78000,0,0,0,1961,1961,19250,876,0,0,1,0,0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,,
6,5590006028,0,0,0,0,1,342560,220219,122341,0,0,0,0,4103,2000,0,207000,1,165000,1,1962,1962,8102,1296,0,0,1,0,0,0.0,0,0,2,2,0,0,0,0,0,0,0,0,0,,
7,5590007083,0,0,0,0,1,152733,50908,101825,0,0,0,0,1839,2000,0,47000,1,45590,1,1959,1959,10414,984,0,0,1,0,0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,,
8,5590007087,0,0,1,0,1,168769,51925,116844,0,0,0,0,2100,2000,0,130000,1,104000,1,1957,1957,8758,1114,0,0,1,0,0,0.0,0,0,2,2,0,0,0,0,0,0,0,0,0,,
9,5590007092,0,0,1,0,1,145400,45174,100226,0,0,0,0,1821,2000,0,112000,1,89600,1,1957,1957,8758,1090,0,0,1,0,0,0.0,0,0,2,2,0,0,0,0,0,0,0,0,0,,
10,5591009060,0,0,0,0,1,520607,396117,124490,0,0,0,0,6289,2000,0,95000,1,66500,1,1963,1963,20250,1019,0,0,1,0,0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,,
11,5430023032,0,0,0,0,1,318211,150620,167591,0,0,0,0,3912,2001,0,255000,1,200000,1,1992,1992,13606,1566,0,0,1,0,0,0.0,0,0,3,3,0,0,0,0,0,0,0,0,0,,
12,5434002018,0,0,0,0,1,316963,174706,142257,0,0,0,0,3798,2001,0,254000,1,203200,1,1976,1976,25051,1298,0,0,1,0,0,0.0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.0,0.0
13,5434002029,1,0,1,0,1,392857,313854,79003,0,0,0,0,4792,2001,0,249000,1,174300,1,1976,1976,25051,1438,0,0,1,0,0,0.0,0,0,2,2,0,0,0,0,0,0,0,0,1,,
14,5588026065,0,0,0,0,1,287015,115803,171212,0,0,0,0,3427,2001,0,230000,1,130000,1,1966,1966,93226,1071,0,0,1,0,0,0.0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.0,0.0
