,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,Prediction,Actual
0,5590007001,0,0,0,0,1,764570,611657,152913,0,0,0,0,9147,2012,0,735000,0,0,0,1921,1921,4499,1196,0,0,1,0,0,0.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.0,0.0
1,5591005003,0,0,0,0,1,963046,770437,192609,0,0,0,0,11705,2013,0,930000,0,0,0,1928,1928,4706,2349,0,0,1,0,0,0.0,0,0,3,2,0,0,0,0,0,0,0,0,1,,
2,5592009038,1,0,0,0,1,1371383,906772,464611,0,0,0,0,16696,2013,0,1310000,0,0,0,1939,1939,6664,2615,0,0,1,0,0,0.0,0,0,3,3,0,0,0,0,0,0,0,0,0,1.0,0.0
3,5580029001,0,0,1,0,1,3939169,2954377,984792,0,0,0,0,47342,2014,0,3880000,0,0,0,1941,1941,39558,3363,0,0,1,0,0,0.0,0,0,4,5,0,0,0,0,0,0,0,0,0,,
4,5588011006,0,0,0,0,1,1945117,1421350,523767,0,0,0,0,23588,2014,0,1975000,0,0,0,1924,1924,10045,3185,0,0,1,0,0,0.0,0,0,4,5,0,0,0,0,0,0,0,0,0,1.0,0.0
5,5588012010,1,0,1,0,0,2111720,1689376,422344,0,0,0,0,25521,2014,0,2080000,0,0,0,1933,1933,11467,2192,0,0,1,0,0,0.0,0,0,3,3,0,0,0,0,0,0,0,0,0,,
6,5590017023,0,0,0,0,1,746618,597295,149323,0,0,0,0,8992,2014,0,721000,0,0,0,1922,1922,2482,1034,0,0,1,0,0,0.0,0,0,2,2,0,0,0,0,0,0,0,0,0,,
7,5591001021,0,0,0,0,1,1165637,852140,313497,0,0,0,0,14122,2014,0,1078000,1,862057,1,1926,1926,7267,1969,0,0,1,0,0,0.0,0,0,3,3,0,0,0,0,0,0,0,0,0,,
8,5587026012,0,0,0,0,0,1299772,813286,486486,0,0,0,0,15817,2016,0,1510000,0,0,0,1950,1950,9532,2162,0,0,1,0,0,0.0,0,0,3,2,0,0,0,0,0,0,0,0,1,,
9,5592012001,0,0,1,0,1,1729636,1323881,405755,0,0,0,0,21138,2016,0,2430000,0,0,0,1989,1989,11133,5524,0,0,1,0,0,0.0,0,0,4,4,0,0,0,0,0,0,0,0,0,,
