,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,FINAL DIST,GIFT,GRANT DEED,INTERSPOUSAL,JOINT TENANT,MISC,NAME CHANGE,Other,PARTNERSHIP,QUIT CLAIM,RE-RECORD,RECEIVERS DEED,SPECIAL WARRANTY,TAX DEED,TRUST TRANSFER,TRUSTEES,WARRANTY,Prediction,Actual
0,5554025186,0,0,0,0,1,617170,408876,208294,0,0,0,34,7579,2008,0,576000,1,417000,1,1986,1986,18046,1249,0,0,20,0,0,0.0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,5554020145,0,0,0,0,1,852802,533001,319801,0,1,7000,38,10248,2010,0,800000,1,417000,1,0,0,9797,0,0,0,10,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,5555004108,0,0,0,0,1,653187,418040,235147,0,0,0,36,8063,2015,0,965000,1,772000,1,2010,0,7541,1445,0,0,8,0,0,0.0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
3,4340011022,0,0,1,0,1,1025000,542200,482800,0,0,0,47,12471,2014,0,1025000,1,820000,1,2012,2012,7141,1940,0,0,3,0,0,0.0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,4340027180,0,0,1,0,1,1023354,756033,267321,0,0,0,26,12368,2015,0,1210000,1,968000,1,1989,1989,8302,2115,0,0,6,0,0,0.0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
5,4340011021,0,0,1,0,0,1200000,628600,571400,0,1,7000,48,14517,0,0,0,0,0,0,2012,2012,7141,1950,0,0,3,0,0,0.0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,4340011023,0,0,1,1,0,1100000,624100,475900,0,0,0,43,13428,0,0,0,0,0,0,2012,2012,7141,1910,0,0,3,0,0,0.0,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,5555003055,0,0,0,0,1,301141,171713,129428,0,0,0,43,3791,2015,0,0,0,0,0,1973,1973,20528,1033,1,1,35,1,1,4.0,1,0,1,2,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
8,5555002078,0,0,0,0,1,625069,133579,491490,0,0,0,79,7698,2012,0,770000,0,0,0,1975,1986,84581,1868,0,1,95,1,1,1.0,1,0,2,3,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,4392014188,0,1,1,1,1,1835963,1285174,550789,0,0,0,30,21820,2014,0,1800000,1,1260000,1,1965,1965,32195,1237,0,1,147,1,1,1.0,1,0,1,2,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
