,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,FINAL DIST,GIFT,GRANT DEED,INTERSPOUSAL,JOINT TENANT,MISC,NAME CHANGE,Other,PARTNERSHIP,QUIT CLAIM,RE-RECORD,RECEIVERS DEED,SPECIAL WARRANTY,TAX DEED,TRUST TRANSFER,TRUSTEES,WARRANTY,Prediction,Actual
0,5529008006,0,1,0,0,0,83200,72198,0,0,0,0,0,0,1968,0,0,0,0,0,1951,1951,7500,1664,0,0,1,0,0,1.0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,4340015017,0,0,0,0,0,359300,203245,0,0,0,0,0,0,1979,0,0,0,0,0,1927,1927,3864,1153,0,0,1,0,0,1.0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,5531004052,0,0,1,0,0,318800,199313,0,0,0,0,0,0,1997,0,0,0,0,0,1940,1940,5257,1359,0,0,1,0,0,1.0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,4336004003,0,0,0,0,0,453200,357404,0,0,0,0,0,0,1986,0,0,0,0,0,1927,1927,4597,1033,0,0,1,0,0,1.0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
4,5529017005,1,0,0,0,0,538600,389916,0,0,0,0,0,0,1992,0,0,0,0,0,1924,1924,6550,1596,0,0,1,0,0,1.0,0,0,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,4340015019,0,0,0,0,0,478300,335228,0,0,0,0,0,0,1997,0,0,0,0,0,1925,1925,3780,1457,0,0,1,0,0,1.0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,4340018037,0,0,0,0,0,646200,461262,0,0,0,0,0,0,1999,0,0,0,0,0,1954,1954,4555,2312,0,0,1,0,0,1.0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
7,5531004019,1,0,0,0,0,682200,545821,0,0,0,0,0,0,2002,0,0,0,0,0,1941,1941,5669,1428,0,0,1,0,0,1.0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,5529019020,0,0,0,0,0,681300,545072,0,0,0,0,0,0,2010,0,0,0,0,0,1923,1923,6549,1558,0,0,1,0,0,1.0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,4340013015,0,0,1,0,0,682000,545674,0,0,0,0,0,0,2010,0,0,0,0,0,1922,1922,3723,1005,0,0,1,0,0,1.0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
10,4336021010,0,0,0,0,0,877600,574411,0,0,0,0,0,0,2000,0,0,0,0,0,1924,1924,4960,1410,0,0,1,0,0,1.0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
11,4340022033,0,0,0,0,0,794100,656394,0,0,0,0,0,0,2012,0,0,0,0,0,1925,1925,4415,1118,0,0,1,0,0,1.0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
12,5531021010,0,0,0,0,0,1023300,818736,0,0,0,0,0,0,2004,0,0,0,0,0,1923,1923,6993,1362,0,0,1,0,0,1.0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
13,5530007035,0,0,1,0,0,457700,420988,0,0,0,0,0,0,2015,0,0,0,0,0,1915,1915,5464,1182,0,0,1,0,0,1.0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
14,4340017032,0,0,0,0,0,968800,747630,0,0,0,0,0,0,2012,0,0,0,0,0,1927,1927,3998,1850,0,0,1,0,0,1.0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
15,5530004002,0,0,0,0,0,969000,775184,0,0,0,0,0,0,2014,0,0,0,0,0,1919,1919,6283,1002,0,0,1,0,0,1.0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
16,4340013037,0,0,0,0,0,1142400,914038,0,0,0,0,0,0,2005,0,0,0,0,0,1924,1924,3781,1196,0,0,1,0,0,1.0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
17,5530023013,0,0,1,0,0,1098400,878810,0,0,0,0,0,0,2007,0,0,0,0,0,1922,1922,5340,1427,0,0,1,0,0,1.0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
18,4340018004,0,0,0,0,0,680100,509723,0,0,0,0,0,0,2015,0,0,0,0,0,1924,1924,2351,1286,0,0,1,0,0,1.0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19,4340013033,1,0,1,0,0,1150000,920000,0,0,0,0,0,0,2014,0,0,0,0,0,1922,1922,3680,888,0,0,1,0,0,1.0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20,4340016022,0,0,1,1,0,321500,264473,0,0,0,0,0,0,2015,0,0,0,0,0,1927,1927,3696,1044,0,0,1,0,0,1.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
21,4340019013,0,0,1,0,0,1037800,697267,0,0,0,0,0,0,2015,0,0,0,0,0,1924,1924,3306,1144,0,0,1,0,0,1.0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
22,4340016021,0,0,0,0,0,1182500,946155,0,0,0,0,0,0,2015,0,0,0,0,0,1925,1925,3906,1240,0,0,1,0,0,1.0,0,0,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
23,5530014010,0,0,1,0,0,680200,449454,0,0,0,0,0,0,2016,0,0,0,0,0,1923,1923,6691,1590,0,0,1,0,0,1.0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
24,4340014023,0,0,1,0,0,1068800,966551,0,0,0,0,0,0,2006,0,0,0,0,0,1939,1939,4310,1498,0,0,1,0,0,1.0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
25,4337009030,0,1,1,0,0,1152700,922264,0,0,0,0,0,0,2015,0,0,0,0,0,1925,1925,5422,1172,0,0,1,0,0,1.0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
26,4340013038,0,1,1,0,0,1076100,1071021,0,0,0,0,0,0,2014,0,0,0,0,0,1923,1923,3611,1140,0,0,1,0,0,1.0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
27,4340017010,0,0,0,0,0,609600,458513,0,0,0,0,0,0,1991,0,0,0,0,0,1923,1923,4377,1146,0,0,1,0,0,1.0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
28,4340017006,0,0,0,0,0,448600,313484,0,0,0,0,0,0,1999,0,0,0,0,0,1925,1925,4444,1626,0,0,1,0,0,1.0,0,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
29,4392015001,0,0,0,0,0,1903600,903826,0,0,0,0,0,0,2006,0,0,0,0,0,2012,2012,14495,9310,0,0,1,0,0,1.0,0,0,6,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
30,5529008014,0,1,1,0,0,2205000,1700055,0,0,0,0,0,0,2014,0,0,0,0,0,1957,1957,9884,1676,0,0,1,0,0,1.0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
31,5531004011,0,0,0,0,0,287300,185905,0,0,0,0,0,0,0,0,0,0,0,0,1941,1941,5112,1530,0,0,1,0,0,1.0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
32,4340019009,0,0,0,0,0,1084600,867646,0,0,0,0,0,0,2007,0,0,0,0,0,1924,1924,3325,1820,0,0,1,0,0,1.0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
33,4340018030,0,0,1,0,0,312200,203152,0,0,0,0,0,0,1985,0,0,0,0,0,1925,1925,4536,1272,0,0,1,0,0,1.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
34,4340020019,0,0,1,0,0,70500,50166,0,0,0,0,0,0,1969,0,0,0,0,0,1924,1924,3220,1313,0,0,1,0,0,1.0,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
35,5530003039,0,0,1,0,0,53800,35687,0,0,0,0,0,0,1972,0,0,0,0,0,1915,1915,4966,1542,0,0,1,0,0,1.0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
36,5529017018,0,0,1,0,0,458800,230213,0,0,0,0,0,0,2000,0,0,0,0,0,1923,1923,6157,1158,0,0,1,0,0,1.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
37,5530007009,0,0,0,0,0,49900,36287,0,0,0,0,0,0,1974,0,0,0,0,0,1922,1922,5081,959,0,0,1,0,0,1.0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
38,5530006016,0,0,1,0,0,78400,52531,0,0,0,0,0,0,2002,0,0,0,0,0,1920,1920,5110,1326,0,0,1,0,0,1.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
39,4340018012,0,0,1,0,0,73000,55060,0,0,0,0,0,0,1970,0,0,0,0,0,1924,1924,4009,1042,0,0,1,0,0,1.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
40,5530013021,0,0,0,0,0,70100,58936,0,0,0,0,0,0,1974,0,0,0,0,0,1922,1922,6229,1281,0,0,1,0,0,1.0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
41,5530007002,0,0,0,0,0,157700,69582,0,0,0,0,0,0,1972,0,0,0,0,0,1921,1921,5385,1416,0,0,1,0,0,1.0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
42,4340015005,0,0,1,0,0,612300,535831,0,0,0,0,0,0,1973,0,0,0,0,0,1939,1939,6077,1197,0,0,1,0,0,1.0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
43,5530008009,0,0,1,1,0,76800,55535,0,0,0,0,0,0,1977,0,0,0,0,0,1920,1920,5183,864,0,0,1,0,0,1.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
44,4340018013,0,0,0,0,0,361700,274943,0,0,0,0,0,0,1989,0,0,0,0,0,1924,1924,3946,1066,0,0,1,0,0,1.0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
45,4340020010,0,0,0,0,0,80100,50985,0,0,0,0,0,0,1972,0,0,0,0,0,1925,1925,3323,936,0,0,1,0,0,1.0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
46,4340013035,1,0,0,0,0,154600,94702,0,0,0,0,0,0,1976,0,0,0,0,0,1922,1922,3777,1116,0,0,1,0,0,1.0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
47,5531022004,0,1,1,0,0,742800,614776,0,0,0,0,0,0,1977,0,0,0,0,0,1921,1921,6377,1338,0,0,1,0,0,1.0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
48,4340014002,0,0,0,0,0,203200,126387,0,0,0,0,0,0,1975,0,0,0,0,0,1938,1938,3512,1292,0,0,1,0,0,1.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
